vote_2016,vote_2020,sex,race,household_income,education,state,age,vote_trump,vote_biden,not_sure,someone_else
Donald Trump,Donald Trump,male,white,"$65,000 to $69,999","College Degree (such as B.A., B.S.)",MA,35,1,0,0,0
Hillary Clinton,Donald Trump,female,"other race, nec","Less than $14,999",High school graduate,PA,40,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"$125,000 to $149,999",Doctorate degree,CA,38,0,1,0,0
Donald Trump,Donald Trump,male,white,"$65,000 to $69,999","College Degree (such as B.A., B.S.)",NE,52,1,0,0,0
Gary Johnson,Someone else,male,white,"$45,000 to $49,999","Completed some college, but no degree",VA,59,0,0,0,1
Donald Trump,Donald Trump,male,white,"$30,000 to $34,999",High school graduate,TN,51,1,0,0,0
Donald Trump,Donald Trump,male,white,"$40,000 to $44,999","Completed some college, but no degree",NY,31,1,0,0,0
Donald Trump,Donald Trump,male,white,"$70,000 to $74,999","College Degree (such as B.A., B.S.)",FL,69,1,0,0,0
Hillary Clinton,Joe Biden,male,white,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",AZ,76,0,1,0,0
Donald Trump,Donald Trump,male,white,"$100,000 to $124,999","Completed some college, but no degree",TX,48,1,0,0,0
Hillary Clinton,Donald Trump,male,white,"$70,000 to $74,999","College Degree (such as B.A., B.S.)",SC,38,1,0,0,0
Donald Trump,Donald Trump,male,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",FL,41,1,0,0,0
